amplitude_m,speed_m_s,regen_limit_w,spacing_m,reference_battery_wh,mean_signed_difference_wh,min_signed_difference_wh,max_signed_difference_wh,mean_absolute_difference_wh
0.250000000,15.000000000,5000.000000000,10.000000000,130.471862580,-2.311475503,-3.712230003,-0.830590040,2.311475503
0.250000000,15.000000000,5000.000000000,30.000000000,130.471862580,-8.903773180,-8.903841303,-8.903705070,8.903773180
0.250000000,15.000000000,20000.000000000,5.000000000,130.471862580,-0.603282701,-0.781890049,-0.534527188,0.603282701
0.250000000,15.000000000,20000.000000000,10.000000000,130.471862580,-2.311475503,-3.712230003,-0.830590040,2.311475503
0.250000000,15.000000000,20000.000000000,30.000000000,130.471862580,-8.903773180,-8.903841303,-8.903705070,8.903773180
0.250000000,25.000000000,0.000000000,5.000000000,184.239770246,-0.857792755,-1.336505407,-0.495969393,0.857792755
0.250000000,25.000000000,0.000000000,10.000000000,184.239770246,-3.090429354,-6.311914818,-0.519761094,3.090429354
0.250000000,25.000000000,0.000000000,30.000000000,184.239770246,-6.353677326,-6.353841732,-6.353512949,6.353677326
0.250000000,25.000000000,5000.000000000,5.000000000,180.542810623,-0.357075111,-0.555740909,-0.206918463,0.357075111
0.250000000,25.000000000,5000.000000000,10.000000000,180.542810623,-1.286664453,-2.623580914,-0.219839861,1.286664453
0.250000000,25.000000000,5000.000000000,30.000000000,180.542810623,-2.656717703,-2.656882109,-2.656553326,2.656717703
0.250000000,25.000000000,20000.000000000,5.000000000,180.542810623,-0.357075111,-0.555740909,-0.206918463,0.357075111
0.250000000,25.000000000,20000.000000000,10.000000000,180.542810623,-1.286664453,-2.623580914,-0.219839861,1.286664453
0.250000000,25.000000000,20000.000000000,30.000000000,180.542810623,-2.656717703,-2.656882109,-2.656553326,2.656717703
0.750000000,8.000000000,0.000000000,5.000000000,266.255602787,-5.077445346,-6.959148124,-3.810232180,5.077445346
0.750000000,8.000000000,0.000000000,10.000000000,266.255602787,-20.430488374,-39.162362769,-3.818551653,20.430488374
0.750000000,8.000000000,0.000000000,30.000000000,266.255602787,-136.266730954,-137.223668207,-135.503756715,136.266730954
0.750000000,8.000000000,5000.000000000,5.000000000,191.457350622,-4.193535061,-5.256254556,-3.039687890,4.193535061
0.750000000,8.000000000,5000.000000000,10.000000000,191.457350622,-16.062054245,-17.716803677,-15.178396973,16.062054245
0.750000000,8.000000000,5000.000000000,30.000000000,191.457350622,-76.866129265,-77.263455175,-76.549691280,76.866129265
0.750000000,8.000000000,20000.000000000,5.000000000,171.182744877,-2.109369305,-2.890276054,-1.583475937,2.109369305
0.750000000,8.000000000,20000.000000000,10.000000000,171.182744877,-8.487107132,-16.260862867,-1.593131017,8.487107132
0.750000000,8.000000000,20000.000000000,30.000000000,171.182744877,-56.591523520,-56.988849429,-56.275085535,56.591523520
0.750000000,15.000000000,0.000000000,5.000000000,273.565006787,-5.156429299,-6.199420337,-4.684205241,5.156429299
0.750000000,15.000000000,0.000000000,10.000000000,273.565006787,-20.498197385,-36.184805938,-5.069117088,20.498197385
0.750000000,15.000000000,0.000000000,30.000000000,273.565006787,-132.599539827,-133.054632139,-131.909582107,132.599539827
0.750000000,15.000000000,5000.000000000,5.000000000,229.791205119,-4.709550468,-5.783906320,-4.289121804,4.709550468
0.750000000,15.000000000,5000.000000000,10.000000000,229.791205119,-18.956488276,-20.333405820,-16.634368450,18.956488276
0.750000000,15.000000000,5000.000000000,30.000000000,229.791205119,-100.164980873,-100.354200762,-99.879006134,100.164980873
0.750000000,15.000000000,20000.000000000,5.000000000,184.729192206,-2.143967526,-2.576808980,-1.947994369,2.143967526
0.750000000,15.000000000,20000.000000000,10.000000000,184.729192206,-8.522107556,-15.032100709,-2.118998592,8.522107556
0.750000000,15.000000000,20000.000000000,30.000000000,184.729192206,-55.102967960,-55.292187849,-54.816993222,55.102967960
0.750000000,25.000000000,0.000000000,5.000000000,304.789253699,-4.878234853,-6.634078239,-3.171911383,4.878234853
0.750000000,25.000000000,0.000000000,10.000000000,304.789253699,-19.176369378,-25.751373577,-9.379564506,19.176369378
0.750000000,25.000000000,0.000000000,30.000000000,304.789253699,-118.818482085,-119.744769221,-117.669695516,118.818482085
0.750000000,25.000000000,5000.000000000,5.000000000,279.262892135,-4.634016576,-6.567172966,-2.746871823,4.634016576
0.750000000,25.000000000,5000.000000000,10.000000000,279.262892135,-18.497181595,-19.869199267,-16.978452943,18.497181595
0.750000000,25.000000000,5000.000000000,30.000000000,279.262892135,-98.001811857,-98.387081584,-97.525928737,98.001811857
0.750000000,25.000000000,20000.000000000,5.000000000,233.661244617,-2.761444533,-3.561669176,-1.791036064,2.761444533
0.750000000,25.000000000,20000.000000000,10.000000000,233.661244617,-10.272592844,-11.700870024,-6.841000102,10.272592844
0.750000000,25.000000000,20000.000000000,30.000000000,233.661244617,-52.400164338,-52.785434065,-51.924281219,52.400164338
