x_m,reference_z_m,sampled_5m_z_m,sampled_10m_z_m,sampled_30m_z_m
350.500000000,0.772183560,0.793762290,0.811552298,1.868263886
351.000000000,0.776716643,0.814856249,0.850436265,1.851531454
351.500000000,0.786233482,0.835950207,0.889320231,1.834799021
352.000000000,0.800671091,0.857044166,0.928204198,1.818066588
352.500000000,0.819938015,0.878138124,0.967088165,1.801334156
353.000000000,0.843914933,0.899232083,1.005972131,1.784601723
353.500000000,0.872455415,0.920326041,1.044856098,1.767869290
354.000000000,0.905386851,0.941420000,1.083740065,1.751136857
354.500000000,0.942511538,0.962513958,1.122624031,1.734404425
355.000000000,0.983607917,0.983607917,1.161507998,1.717671992
355.500000000,1.028431948,1.040281891,1.200391965,1.700939559
356.000000000,1.076718631,1.096955866,1.239275931,1.684207126
356.500000000,1.128183647,1.153629841,1.278159898,1.667474694
357.000000000,1.182525109,1.210303816,1.317043865,1.650742261
357.500000000,1.239425428,1.266977791,1.355927831,1.634009828
358.000000000,1.298553267,1.323651765,1.394811798,1.617277395
358.500000000,1.359565574,1.380325740,1.433695765,1.600544963
359.000000000,1.422109689,1.436999715,1.472579731,1.583812530
359.500000000,1.485825504,1.493673690,1.511463698,1.567080097
360.000000000,1.550347664,1.550347664,1.550347664,1.550347664
360.500000000,1.615307800,1.611338355,1.597491863,1.548669409
361.000000000,1.680336771,1.672329045,1.644636061,1.546991154
361.500000000,1.745066922,1.733319736,1.691780259,1.545312898
362.000000000,1.809134306,1.794310426,1.738924458,1.543634643
362.500000000,1.872180906,1.855301117,1.786068656,1.541956387
363.000000000,1.933856794,1.916291807,1.833212854,1.540278132
363.500000000,1.993822256,1.977282498,1.880357053,1.538599876
364.000000000,2.051749836,2.038273188,1.927501251,1.536921621
364.500000000,2.107326310,2.099263879,1.974645449,1.535243365
365.000000000,2.160254569,2.160254569,2.021789648,1.533565110
365.500000000,2.210255396,2.193552275,2.068933846,1.531886854
366.000000000,2.257069130,2.226849982,2.116078045,1.530208599
366.500000000,2.300457215,2.260147688,2.163222243,1.528530343
367.000000000,2.340203601,2.293445394,2.210366441,1.526852088
367.500000000,2.376116021,2.326743100,2.257510640,1.525173832
368.000000000,2.408027106,2.360040806,2.304654838,1.523495577
368.500000000,2.435795350,2.393338513,2.351799036,1.521817321
369.000000000,2.459305916,2.426636219,2.398943235,1.520139066
369.500000000,2.478471266,2.459933925,2.446087433,1.518460810
370.000000000,2.493231631,2.493231631,2.493231631,1.516782555
370.500000000,2.503555305,2.484441477,2.468908468,1.515104299
371.000000000,2.509438761,2.475651322,2.444585305,1.513426044
371.500000000,2.510906594,2.466861168,2.420262142,1.511747788
372.000000000,2.508011292,2.458071013,2.395938979,1.510069533
372.500000000,2.500832831,2.449280859,2.371615816,1.508391277
373.000000000,2.489478097,2.440490704,2.347292652,1.506713022
373.500000000,2.474080149,2.431700549,2.322969489,1.505034766
374.000000000,2.454797312,2.422910395,2.298646326,1.503356511
374.500000000,2.431812115,2.414120240,2.274323163,1.501678255
375.000000000,2.405330086,2.405330086,2.250000000,1.500000000
375.500000000,2.375578395,2.365473914,2.225676837,1.498321745
376.000000000,2.342804373,2.325617742,2.201353674,1.496643489
376.500000000,2.307273897,2.285761571,2.177030511,1.494965234
377.000000000,2.269269671,2.245905399,2.152707348,1.493286978
377.500000000,2.229089393,2.206049227,2.128384184,1.491608723
378.000000000,2.187043841,2.166193056,2.104061021,1.489930467
378.500000000,2.143454870,2.126336884,2.079737858,1.488252212
379.000000000,2.098653344,2.086480712,2.055414695,1.486573956
379.500000000,2.052977017,2.046624541,2.031091532,1.484895701
380.000000000,2.006768369,2.006768369,2.006768369,1.483217445
380.500000000,1.960372413,1.965066075,1.978912567,1.481539190
381.000000000,1.914134491,1.923363781,1.951056765,1.479860934
381.500000000,1.868398067,1.881661487,1.923200964,1.478182679
382.000000000,1.823502536,1.839959194,1.895345162,1.476504423
382.500000000,1.779781054,1.798256900,1.867489360,1.474826168
383.000000000,1.737558418,1.756554606,1.839633559,1.473147912
383.500000000,1.697148985,1.714852312,1.811777757,1.471469657
384.000000000,1.658854676,1.673150018,1.783921955,1.469791401
384.500000000,1.622963042,1.631447725,1.756066154,1.468113146
385.000000000,1.589745431,1.589745431,1.728210352,1.466434890
385.500000000,1.559455252,1.575736121,1.700354551,1.464756635
386.000000000,1.532326358,1.561726812,1.672498749,1.463078379
386.500000000,1.508571544,1.547717502,1.644642947,1.461400124
387.000000000,1.488381187,1.533708193,1.616787146,1.459721868
387.500000000,1.471922019,1.519698883,1.588931344,1.458043613
388.000000000,1.459336052,1.505689574,1.561075542,1.456365357
388.500000000,1.450739661,1.491680264,1.533219741,1.454687102
389.000000000,1.446222822,1.477670955,1.505363939,1.453008846
389.500000000,1.445848522,1.463661645,1.477508137,1.451330591
390.000000000,1.449652336,1.449652336,1.449652336,1.449652336
390.500000000,1.457642173,1.475260293,1.488536302,1.457919903
391.000000000,1.469798207,1.500868251,1.527420269,1.466187470
391.500000000,1.486072963,1.526476208,1.566304235,1.474455037
392.000000000,1.506391600,1.552084166,1.605188202,1.482722605
392.500000000,1.530652348,1.577692124,1.644072169,1.490990172
393.000000000,1.558727123,1.603300081,1.682956135,1.499257739
393.500000000,1.590462306,1.628908039,1.721840102,1.507525306
394.000000000,1.625679684,1.654515996,1.760724069,1.515792874
394.500000000,1.664177542,1.680123954,1.799608035,1.524060441
395.000000000,1.705731912,1.705731912,1.838492002,1.532328008
395.500000000,1.750097951,1.757891887,1.877375969,1.540595575
396.000000000,1.797011464,1.810051863,1.916259935,1.548863143
396.500000000,1.846190538,1.862211839,1.955143902,1.557130710
397.000000000,1.897337299,1.914371814,1.994027869,1.565398277
397.500000000,1.950139761,1.966531790,2.032911835,1.573665844
398.000000000,2.004273776,2.018691766,2.071795802,1.581933412
398.500000000,2.059405054,2.070851741,2.110679769,1.590200979
399.000000000,2.115191252,2.123011717,2.149563735,1.598468546
399.500000000,2.171284118,2.175171693,2.188447702,1.606736114
400.000000000,2.227331668,2.227331668,2.227331668,1.615003681
400.500000000,2.282980402,2.275560873,2.258693926,1.623271248
401.000000000,2.337877516,2.323790078,2.290056184,1.631538815
401.500000000,2.391673126,2.372019282,2.321418441,1.639806383
402.000000000,2.444022472,2.420248487,2.352780699,1.648073950
402.500000000,2.494588091,2.468477692,2.384142956,1.656341517
403.000000000,2.543041953,2.516706896,2.415505214,1.664609084
403.500000000,2.589067539,2.564936101,2.446867471,1.672876652
404.000000000,2.632361848,2.613165305,2.478229729,1.681144219
404.500000000,2.672637329,2.661394510,2.509591986,1.689411786
405.000000000,2.709623715,2.709623715,2.540954244,1.697679353
405.500000000,2.743069756,2.724119025,2.572316501,1.705946921
406.000000000,2.772744836,2.738614335,2.603678759,1.714214488
406.500000000,2.798440463,2.753109646,2.635041016,1.722482055
407.000000000,2.819971628,2.767604956,2.666403274,1.730749622
407.500000000,2.837178018,2.782100267,2.697765531,1.739017190
408.000000000,2.849925082,2.796595577,2.729127789,1.747284757
408.500000000,2.858104935,2.811090888,2.760490046,1.755552324
409.000000000,2.861637102,2.825586198,2.791852304,1.763819891
409.500000000,2.860469096,2.840081508,2.823214561,1.772087459
410.000000000,2.854576819,2.854576819,2.854576819,1.780355026
410.500000000,2.843964796,2.824194464,2.809133296,1.788622593
411.000000000,2.828666229,2.793812108,2.763689774,1.796890161
411.500000000,2.808742874,2.763429753,2.718246252,1.805157728
412.000000000,2.784284746,2.733047398,2.672802729,1.813425295
412.500000000,2.755409649,2.702665043,2.627359207,1.821692862
413.000000000,2.722262534,2.672282688,2.581915685,1.829960430
413.500000000,2.685014689,2.641900333,2.536472162,1.838227997
414.000000000,2.643862772,2.611517977,2.491028640,1.846495564
414.500000000,2.599027678,2.581135622,2.445585117,1.854763131
415.000000000,2.550753267,2.550753267,2.400141595,1.863030699
415.500000000,2.499304941,2.490248577,2.354698073,1.871298266
416.000000000,2.444968093,2.429743888,2.309254550,1.879565833
416.500000000,2.388046429,2.369239198,2.263811028,1.887833400
417.000000000,2.328860180,2.308734509,2.218367506,1.896100968
417.500000000,2.267744205,2.248229819,2.172923983,1.904368535
418.000000000,2.205046011,2.187725130,2.127480461,1.912636102
418.500000000,2.141123683,2.127220440,2.082036938,1.920903669
419.000000000,2.076343759,2.066715750,2.036593416,1.929171237
419.500000000,2.011079040,2.006211061,1.991149894,1.937438804
420.000000000,1.945706371,1.945706371,1.945706371,1.945706371
420.500000000,1.880604386,1.887869559,1.905367953,1.963277932
421.000000000,1.816151243,1.830032746,1.865029534,1.980849492
421.500000000,1.752722362,1.772195934,1.824691116,1.998421053
422.000000000,1.690688176,1.714359121,1.784352698,2.015992613
422.500000000,1.630411909,1.656522308,1.744014279,2.033564174
423.000000000,1.572247399,1.598685496,1.703675861,2.051135734
423.500000000,1.516536973,1.540848683,1.663337442,2.068707295
424.000000000,1.463609393,1.483011871,1.622999024,2.086278855
424.500000000,1.413777883,1.425175058,1.582660605,2.103850416
425.000000000,1.367338246,1.367338246,1.542322187,2.121421976
425.500000000,1.324567086,1.344498221,1.501983768,2.138993537
426.000000000,1.285720153,1.321658197,1.461645350,2.156565097
426.500000000,1.251030799,1.298818173,1.421306932,2.174136657
427.000000000,1.220708585,1.275978148,1.380968513,2.191708218
427.500000000,1.194938015,1.253138124,1.340630095,2.209279778
428.000000000,1.173877439,1.230298100,1.300291676,2.226851339
428.500000000,1.157658098,1.207458075,1.259953258,2.244422899
429.000000000,1.146383341,1.184618051,1.219614839,2.261994460
429.500000000,1.140128012,1.161778027,1.179276421,2.279566020
430.000000000,1.138938002,1.138938002,1.138938002,2.297137581
430.500000000,1.142829983,1.164545960,1.182237327,2.314709141
431.000000000,1.151791315,1.190153918,1.225536651,2.332280702
431.500000000,1.165780130,1.215761875,1.268835975,2.349852262
432.000000000,1.184725597,1.241369833,1.312135299,2.367423823
432.500000000,1.208528353,1.266977791,1.355434623,2.384995383
433.000000000,1.237061119,1.292585748,1.398733947,2.402566944
433.500000000,1.270169473,1.318193706,1.442033271,2.420138504
434.000000000,1.307672792,1.343801663,1.485332595,2.437710065
434.500000000,1.349365352,1.369409621,1.528631919,2.455281625
435.000000000,1.395017579,1.395017579,1.571931243,2.472853186
435.500000000,1.444377442,1.456008269,1.615230567,2.490424746
436.000000000,1.497171983,1.516998960,1.658529891,2.507996307
436.500000000,1.553108975,1.577989650,1.701829215,2.525567867
437.000000000,1.611878686,1.638980340,1.745128539,2.543139428
437.500000000,1.673155757,1.699971031,1.788427863,2.560710988
438.000000000,1.736601174,1.760961721,1.831727187,2.578282549
438.500000000,1.801864310,1.821952412,1.875026511,2.595854109
439.000000000,1.868585048,1.882943102,1.918325835,2.613425669
439.500000000,1.936395952,1.943933793,1.961625159,2.630997230
440.000000000,2.004924483,2.004924483,2.004924483,2.648568790
440.500000000,2.073795243,2.069288207,2.054678259,2.666140351
441.000000000,2.142632233,2.133651930,2.104432035,2.683711911
441.500000000,2.211061114,2.198015653,2.154185811,2.701283472
442.000000000,2.278711453,2.262379377,2.203939587,2.718855032
442.500000000,2.345218946,2.326743100,2.253693362,2.736426593
443.000000000,2.410227593,2.391106824,2.303447138,2.753998153
443.500000000,2.473391834,2.455470547,2.353200914,2.771569714
444.000000000,2.534378600,2.519834270,2.402954690,2.789141274
444.500000000,2.592869302,2.584197994,2.452708466,2.806712835
445.000000000,2.648561717,2.648561717,2.502462242,2.824284395
445.500000000,2.701171779,2.683705545,2.552216017,2.841855956
446.000000000,2.750435251,2.718849374,2.601969793,2.859427516
446.500000000,2.796109277,2.753993202,2.651723569,2.876999077
447.000000000,2.837973798,2.789137030,2.701477345,2.894570637
447.500000000,2.875832831,2.824280859,2.751231121,2.912142198
448.000000000,2.909515591,2.859424687,2.800984897,2.929713758
448.500000000,2.938877466,2.894568515,2.850738672,2.947285319
449.000000000,2.963800822,2.929712343,2.900492448,2.964856879
